pokedex_number,name,primary_type,secondary_type,total,average,hp,attack,defense,sp_atk,sp_def,speed,generation,legendary,catch_rate,egg_group_1,egg_group_2,number_of_grass_moves,number_of_fire_moves,number_of_water_moves,number_of_bug_moves,number_of_normal_moves,number_of_dark_moves,number_of_poison_moves,number_of_electric_moves,number_of_ground_moves,number_of_ice_moves,number_of_fairy_moves,number_of_steel_moves,number_of_fighting_moves,number_of_psychic_moves,number_of_rock_moves,number_of_ghost_moves,number_of_dragon_moves,number_of_flying_moves
1,Bulbasaur,Grass,Poison,318,53.0,45,49,49,65,65,45,1,False,45,Monster,Grass,8,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Ivysaur,Grass,Poison,405,67.5,60,62,63,80,80,60,1,False,45,Monster,Grass,8,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Venusaur,Grass,Poison,525,87.5,80,82,83,100,100,80,1,False,45,Monster,Grass,10,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,Fire,,309,51.5,39,52,43,60,50,65,1,False,45,Monster,Dragon,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Charmeleon,Fire,,405,67.5,58,64,58,80,65,80,1,False,45,Monster,Dragon,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Charizard,Fire,Flying,534,89.0,78,84,78,109,85,100,1,False,45,Monster,Dragon,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1
7,Squirtle,Water,,314,52.33,44,48,65,50,64,43,1,False,45,Monster,Water 1,0,0,6,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0
8,Wartortle,Water,,405,67.5,59,63,80,65,80,58,1,False,45,Monster,Water 1,0,0,6,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0
9,Blastoise,Water,,530,88.33,79,83,100,85,105,78,1,False,45,Monster,Water 1,0,0,6,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0
10,Caterpie,Bug,,195,32.5,45,30,35,20,20,45,1,False,255,Bug,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Metapod,Bug,,205,34.17,50,20,55,25,25,30,1,False,120,Bug,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Butterfree,Bug,Flying,395,65.83,60,45,50,90,80,70,1,False,45,Bug,,2,0,0,5,5,0,1,0,0,0,0,0,0,2,0,0,0,3
13,Weedle,Bug,Poison,195,32.5,40,35,30,20,20,50,1,False,255,Bug,,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Kakuna,Bug,Poison,205,34.17,45,25,50,25,25,35,1,False,120,Bug,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Beedrill,Bug,Poison,395,65.83,65,90,40,45,80,75,1,False,45,Bug,,0,0,0,5,5,1,4,0,0,0,0,0,0,1,0,0,0,0
16,Pidgey,Normal,Flying,251,41.83,40,45,40,35,35,56,1,False,255,Flying,,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,8
17,Pidgeotto,Normal,Flying,349,58.17,63,60,55,50,50,71,1,False,120,Flying,,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,8
18,Pidgeot,Normal,Flying,479,79.83,83,80,75,70,70,101,1,False,45,Flying,,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,8
19,Rattata,Normal,,253,42.17,30,56,35,25,35,72,1,False,255,Field,,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
